text,label
"if danmarks nationalbank were to issue central bank digital currency, our role in the financial system would change.",Wait-and-See
the introduction of central bank digital currency would also create a risk of financial instability by increasing the risk of systemic bank runs.,Anti-CBDC
"instead, the use of the blockchain by central banks to create digital currency open to all citizens without limits would be really disruptive.",Anti-CBDC
"there is now a slowly emerging acceptance that if digital currencies have to be issued, central banks should necessarily be the issuer.",Pro-CBDC
at the other end of the spectrum central banks - which are the banks of the banks - should not offer digital currencies to the general public.,Anti-CBDC
"3. central bank-issued digital currency when using dlt, the question might arise in future as to whether central bank-issued digital currency could be provided for the safe settlement of larger transactions.",Wait-and-See
"so from that vantage point, healthy scepticism, coupled with curiosity and critical analysis, is warranted when it comes to both dlt and central bank-issued digital currency.",Wait-and-See
"central bankissued digital currency, i believe, is currently an unrealistic prospect.",Anti-CBDC
"in principle, the introduction of central bank-issued digital currency or digital base money (dbm), as i have called it, would be much easier and potentially less expensive than ten years ago.",Pro-CBDC
central bank digital currencies central bank digital currencies (cbdc) represent an even more ambitious project that could be developed with a blockchain/dlt infrastructure.,Pro-CBDC
"for this reason, the experiments with rscoin at the bank of england and cad-coin at the bank of canada take a very cautious approach, aiming at addressing technical issues before any definite step in such direction.",Wait-and-See
this means that a real cbdc may still be many years away.,Wait-and-See
"mojmiÌr hampl: central banks, digital currencies and monetary policy in times of elastic money speech by mr mojmiÌr hampl, vice governor of the czech national bank, at the official monetary and financial institutions forum (omfif) roundtable, london, 11 july 2017.",Wait-and-See
but will central bank digital currency become a complete alternative to cash one day?,Wait-and-See
"but even if private digital currencies do remain a fringe phenomenon, central banks are urged by some to consider embracing the new era by issuing their own digital currencies.",Pro-CBDC
"central banks are now carefully monitoring newer developments, particularly digital currencies based on the use of a distributed ledger.",Wait-and-See
"if cbdc is directly issued to the general public, it would allow wider access to central bank payment and settlement systems both in time and space.",Pro-CBDC
digital currencies issued by central banks to the general public my last topic is the potential use of dlt or other technologies by central banks to issue a digital currency to the general public.,Wait-and-See
a central bank issued digital currency would compete with these and other innovative private-sector products and may stifle innovation over the long run.,Anti-CBDC
"and, to explore what could be genuinely new under the sun, we are researching the policy and technical issues posed by central bank digital currencies.",Wait-and-See
how do you see the prospect of central bank digital currencies?,Wait-and-See
if we could fast-forward a bit -- can you imagine a situation where there is going to be one day a digital euro?,Wait-and-See
"and people who currently prefer electronic payments already have a wide range of options available, without needing the central bank to provide the digital money.",Anti-CBDC
central bank digital currency would undoubtedly satisfy that demand.,Pro-CBDC
"by the way, i do not think it is a good idea to push forward the concept of central bank digital currency just as a response to the fall in the use of cash in society.",Anti-CBDC
"this is why the concept of central bank digital currencies has been criticized by, among others, mark carney, and why danmarks nationalbank concluded in december it had ""no plans to issue central bank digital currency.""",Anti-CBDC
"if the central bank allowed transfers from bank accounts to the digital currency, it would have to cap the amount a single individual could hold in the digital currency, perhaps at the level of the median monthly salary.",Wait-and-See
a consumer-oriented cbdc would extend that access to everyone.,Pro-CBDC
"more fundamentally, do we need a cbdc?",Wait-and-See
"still, it is not yet clear whether cbdcs for consumers and businesses are necessary or desirable.",Wait-and-See
"so far, however, central bank experiments with such forms of cbdcs have not shown conclusive benefits for wholesale payments and beyond, but technology and design are evolving quickly.",Wait-and-See
"third, crypto-assets raise the obvious question about whether their infrastructure could be combined with the trust inherent in existing fiat currencies to create a central bank digital currency (cbdc).",Wait-and-See
to be truly transformative a general purpose cbdc would open access to individuals and firms.,Pro-CBDC
the bank has an open mind about the eventual development of a cbdc and an active research programme dedicated to it.,Wait-and-See
"that said, given current technological shortcomings in distributed ledger technologies and the risks with offering central bank accounts for all, a true, widely available reliable cbdc does not appear to be a near-term prospect.",Anti-CBDC
shouldn't a cbdc be a solution in search of a problem or an effort of central bankers to be down with the kids.,Anti-CBDC
"the foundation of better payments cbdc will continue, we're more excited by so while our research on a possible future the opportunities to transform digital payments now.",Pro-CBDC
"or more likely, will central banks issue their own versions of digital currency and in the process, disintermediate banks?",Wait-and-See
"in this regard, the issuance of central bank digital currencies for general use could be analogous to allowing households and firms to directly have accounts in the central bank.",Wait-and-See
the issuance of central bank digital currencies could also affect such a role-sharing structure for utilizing information.,Wait-and-See
"moreover, the parallel coexistence of central bank digital currency with retail banking deposits - 6 - could raise the risk of runs on the banking system in times of stress and so have adverse implications for financial stability.",Anti-CBDC
"and although we at the ecb don't intend to introduce a central bank digital currency for the foreseeable future, we are actively experimenting with the technologies.",Wait-and-See
"another project in the pipeline is the ""project inthanon"" in which the bank of thailand and banks will co-develop a new way of conducting interbank settlement using wholesale central bank digital currency or cbdcs.",Wait-and-See
"like other central banks, our goal is not to immediately bring cbdc into use, but rather to explore its potential and implications for back office operations.",Wait-and-See
suerf/baffi carefin centre conference 'do we need central bank digital currencies?,Wait-and-See
"these are complex questions, related to the consequences of the fourth industrial revolution in our society,2 within which central bank digital currencies (cbdc in short) might one day play an important part.",Wait-and-See
the issuance of cbdcs - a digital version of cash - could accordingly be seen as a natural consequence of the broader process of digitization of the financial system.,Pro-CBDC
"let me emphasize, though it is redundant for this audience, that cbdcs have nothing to do with crypto-assets such as bitcoin.",Wait-and-See
a cbdc could offer them access to these tools at minimum or zero cost.,Pro-CBDC
"to the extent that consumers have no access to bank accounts - and thus to digital payment tools - for reasons other than cost, the introduction of a cbdc would not improve the situation.",Anti-CBDC
"the potential efficiency gains promised by new technological solutions such as distributed ledger technology (dlt), though still unclear, could also help lower the cost of managing cbdcs.",Pro-CBDC
cbdcs as a store of value another important function of money is as a store of value.,Wait-and-See
"in addition to being superior to cash as a store of value, a cbdc would be an asset with unique characteristics, free of credit and liquidity risk.",Pro-CBDC
in extreme conditions the availability of a cbdc could even increase the risk of a digital bank run.,Anti-CBDC
"second, banks can compete by offering services that cbdcs cannot, such as access to credit and payment services.",Anti-CBDC
"recourse to a cbdc as a means of payment may well have benefits, but their precise nature is uncertain and they may still be too small to justify the introduction of a digital currency.",Anti-CBDC
the business case for introducing cbdcs remains at best unclear.,Anti-CBDC
this suggests that central banks should continue to examine the potential effects of digital currencies.,Wait-and-See
"another key issue is whether a cbdc should be remunerated or, as in the case of cash, should pay no interest.",Wait-and-See
"the overall effect is ambiguous, but it could be non-negligible and have non-trivial distributional consequences: central bank profits, transferred to the state and used as the state sees fit, could change 18 on the contrary, a cbdc without interest would be comparable to cash.",Wait-and-See
"19 for example, a ceiling on individual holdings of cbdc could limit the number or size of payments, as the recipients' holdings of cbdc would have to be known in order to finalize the payment.",Wait-and-See
"21 if central banks pushed interest rates into negative territory in a world with a non-remunerated cbdc, banks would effectively avoid the negative rates by substituting reserves with digital currency.",Wait-and-See
"turning now to the specifics of cbdc implementation, central banks should decide whether cbdcs should be token-based - whereby each token represents a particular denomination of the currency, like banknotes - or, like bank deposits, account-based, whereby holdings are accounting records.",Wait-and-See
"if the cbdc were account-based, central banks would start to interact directly with the private non-financial sector.",Wait-and-See
"if the cbdc is legal tender, does this mean that everybody will need to have the technical means to accept it?",Wait-and-See
whether central banks should issue digital currencies - and with what characteristics - remains an open question and i look forward to hearing the views that will be presented today.,Wait-and-See
"while the jury is still out on whether we will have a cbdc, the debate is already bringing benefits.",Wait-and-See
"by introducing an universally accessible cbdc, every household and business would be enabled to hold direct claims against the central bank.",Pro-CBDC
"this practice would make the digital currency a secure store of value, incentivizing individuals and businesses to hold the cbdc.",Pro-CBDC
"one major issue, however, is whether the cbdc should be an interest bearing asset or not.",Wait-and-See
"there are other reasons why some central banks, for example in the scandinavian countries, might view cbdc particularly favourably.",Pro-CBDC
"presently, we are looking into the issue of cbdcs and what it means for the supply of credit and the impact on the financial system.",Wait-and-See
i will then explore how issuing a central bank digital currency could impact some of the core central bank functions.,Wait-and-See
â€¢ can a central bank digital currency improve the current inefficiencies in payments?,Wait-and-See
â€¢ would issuing a central bank digital currency destabilise the financial system?,Wait-and-See
"again, this assumption means that the digital currency issued by the central bank would operate more like cash, which does not earn interest.",Wait-and-See
can a central bank digital currency improve on the current inefficiencies in payments?,Wait-and-See
how would issuing a central bank digital currency impact the financial system?,Wait-and-See
"secondly, and relatedly, a central bank digital currency could reduce commercial bank resiliency to economic downturns.",Anti-CBDC
at this stage it is yet to be seen that a central bank digital currency will bring conclusive benefits.,Wait-and-See
"judgement is required to weigh these findings, but it unlikely that a central bank digital currency would be issued if it posed large and significant risks to new zealand's financial system.",Wait-and-See
"5. wadsworth, a (2018c) 'the pros and cons of issuing a central bank digital currency' reserve bank of new zealand bulletin, vol 81. no.",Wait-and-See
"presently, we are looking into the issue of central bank-issued digital currencies and what it means for the supply of credit and the impact on the financial system.",Wait-and-See
24. mas started on our wholesale cbdc journey two years ago when we introduced a digital token representing the singapore dollar on distributed ledger technology (dlt) to settle interbank debts.,Pro-CBDC
"this year, mas, bank of canada and bank of england embarked on a project to explore how wholesale cbdc, underpinned by dlt, can be used to address the inefficiency that correspondent banking faces.",Pro-CBDC
"26. benoit and my respective committees took a hard look at general purpose cbdc, - and there are many implications - including cost of bank funding, credit provision, and financial stability with the risk of deposits possibly taking flight to central banks during stress periods.",Anti-CBDC
"these include unknowns such as introduction of retail cbdc, which can have implications on the business model of banks and the financial sector and on transmission mechanism of monetary policy.",Wait-and-See
"another project in the pipeline is ""project inthanon"", an experiment on a new way of conducting interbank settlement using wholesale central bank digital currency.",Pro-CBDC
"at the same time, we are studying key design questions related to a central bank digital currency (cbdc), such as what form it might take and whether it would be anonymous like cash.",Wait-and-See
"for example, some major reasons for caution about a central bank digital currency are concerns that it could become a vehicle for illicit transactions or that it could have significant negative implications for financial intermediation.",Anti-CBDC
"like several overseas central banks, the hkma is studying the technical feasibility and merit of central bank issued digital currency (cbdc).",Wait-and-See
"it is still early days, but it seems cbdc offers greater potential in wholesale than the retail area in terms of payment and settlement, especially in the cross-border context.",Pro-CBDC
it is also necessary to assess the likely impact cbdc has on the monetary policy transmission mechanism.,Wait-and-See
let's face it: a central bank digital currency could overcome the volatility risks of an unbacked asset with no intrinsic value.,Pro-CBDC
"let me be clear from the outset, a central bank digital currency is conceptually fundamentally different from the so-called crypto currencies.",Wait-and-See
"moreover, having regard to the international trend, i wonder whether the bank of mauritius, as the sole issuer of legal tender in mauritius, could possibly consider issuing central bank digital currency in the coming year(s).",Pro-CBDC
"crypto-assets and central bank digital currencies meanwhile, we have also witnessed the emergence of new mediums, that is, ""virtual currencies"" or ""crypto-assets.""",Wait-and-See
they believe that the issuance of central bank digital currencies would contribute to financial stability.,Pro-CBDC
"nonetheless, there remain many issues to be assessed before evaluating whether the issuance of central bank digital currencies could contribute to enhancing the effectiveness of monetary policy and financial stability.",Wait-and-See
"also, the central bank needs to carefully consider the possible impacts of central bank digital currencies on financial stability and financial intermediation, especially if they could substitute for not only cash but also bank deposits.",Wait-and-See
"meanwhile, there are some central banks which are seriously considering whether they should issue digital currencies.",Wait-and-See
none of them aims to replace bank deposits with central bank digital currencies.,Wait-and-See
"a number of central banks, including norges bank, are assessing whether introducing a cbdc would be advisable and, if so, in what form.",Wait-and-See
"for norges bank, the question is whether a cbdc could supplement cash to maintain confidence in the monetary system and ensure that norway's future payment system is safe and efficient.",Pro-CBDC
"the working group is focusing on the purposes of a cbdc, the solutions that best serve these purposes and their impact.",Wait-and-See
"will central banks' monetary policy become less effective and, if so, are central bank digital currencies a way to restore their effectiveness?",Wait-and-See
"20 in most other jurisdictions, there is more time to continue studying the technology and to assess the implications for both monetary policy and financial stability of central banks issuing their own digital currencies.",Wait-and-See
"a clear majority, 69%, is currently, or will soon be, conducting work related to cbdcs.",Wait-and-See
"however, on my next slide, you can see proof that most central banks are still at an early stage of studying digital currencies.",Wait-and-See
the e-krona will have only minor consequences for the banking system some critics of central bank digital currencies claim that they create risks that affect the financial system.,Anti-CBDC
another question that often arises is whether central bank digital currency can increase the risk of bank runs.,Wait-and-See
"725, bank of england, may 2018. meaning, jack, ben dyson, james barker, and emily clayton, (2018), ""broadening narrow money: monetary policy with a central bank digital currency"", staff working paper, no.",Wait-and-See
"724, bank of england, may 2018. rogoff, k. (2016), the curse of cash, princeton: princeton university press, 2016. sedlabanki (2018), ""raÌfkroÌna?, central bank digital currency interim report.""",Wait-and-See
"to stay on the front foot, so to speak, the sarb is considering hosting a focused workshop on cbdcs in the coming year.",Wait-and-See
"globally, there has been some discussion on the potential implications of cbdcs, but this is still relatively green field thinking.",Wait-and-See
3.3 will the promises of dlt lead to the issuance of central bank digital currencies?,Wait-and-See
"more research should therefore be devoted to the benefits, drawbacks and implications of the issue of a cbdc.",Wait-and-See
one question is whether cbdcs would have legal tender status just like euro banknotes and coins.,Wait-and-See
issuing a cbdc that does not adequately comply with these and other supervisory and tax regimes would not be advisable28.,Anti-CBDC
it is currently not clear how aml requirements can be implemented practically for anonymous forms of cbdc.,Anti-CBDC
"norges bank is therefore considering whether the central bank should also offer the public central bank digital currency.8 like cash, central bank digital currency will be a claim on the central bank.",Wait-and-See
"project sand dollar highlights through project sand dollar, the central bank will develop and pilot a general purpose, digital version of the bahamian dollar-that is, with both wholesale and retail applications.",Pro-CBDC
"(bis (january 2019), ""proceeding with caution - a survey on central bank digital currency"", https://www.bis.org/publ/bppdf/bispap101.htm).",Wait-and-See
a potential decision to issue a central bank digital currency (cbdc) needs to be assessed in relation to the impact on the financial system.,Wait-and-See
"in an extreme case, during a systemic banking crisis, holding risk-free central bank-issued cbdc could become vastly more attractive than bank deposits.",Anti-CBDC
"even in the absence of a crisis, readily convertible cbdc could crowd out bank deposits - putting the two-tier banking system at risk.",Anti-CBDC
we must obviously distinguish between digital assets and central bank digital currency.,Wait-and-See
i must say that i was pretty surprised when i received the invitation to cover the topic of central bank digital currencies - or cbdcs.,Wait-and-See
"yet despite being an innovation-friendly regulator, in terms of cbdcs, we do not have much inhouse projects to share, at least at this point.",Wait-and-See
"it is thus simple to define what the cbdc is not: not a conventional reserve account, and not a private crypto asset.",Wait-and-See
"the debate is whether cbdcs should be retail, or wholesale only currencies, or perhaps both.",Wait-and-See
one example would be the value-based wholesale cbdc.,Wait-and-See
another basic variation would be the value-based retail cbdc.,Wait-and-See
"thus the rationale for the wholesale cbdc could be to enhance payments and securities settlement efficiency, as well as to reduce counterparty credit and liquidity risks.",Pro-CBDC
"second, the cbdc may alleviate the effective lower bound constraint, making it possible to go deeper into the negative territory.",Pro-CBDC
"knowing this, the retail cbdc would further ensure that the funds stored in bank accounts can indeed be easily converted to risk-free central bank money.",Pro-CBDC
the issue here is that central bank money being risk-free also means that the retail cbdc would be a safe asset.,Pro-CBDC
"in the extreme scenario, cbdcs could encourage ""digital"" sector-wide bank runs which could occur in an unprecedented speed and scale.",Anti-CBDC
"first, the robustness of the proposed underlying technologies for issuing the cbdc is quite uncertain.",Anti-CBDC
it has announced that it has no plans to issue cbdc since it would not improve the existing payment solutions and may also increase financial stability risks.,Anti-CBDC
we therefore do not reject the potential that cbdcs carry.,Wait-and-See
"in some sense, such developments limit the potential added-value of the retail cbdc.",Anti-CBDC
"therefore, assessing the balance between risks and benefits from the perspective of generally conservative central banks, the wholesale cbdc seems like a more viable option going forward.",Pro-CBDC
"digital currencies issued by central banks are called ""central bank digital currencies"" (cbdcs).",Wait-and-See
"among the 63 respondent central banks, about 70 percent are engaged in cbdc work, most of which is in the form of research/study or experiments/proof-of-concept.",Wait-and-See
"many central banks therefore take the position that they have no plan to issue cbdcs in the near future but will continue research into cbdcs, which is the position the bank of japan also takes.",Wait-and-See
"this variant, called ""wholesale cbdc,"" adopts new information technologies such as distributed ledger technology (dlt) in settlements using central bank deposits, or central bank liabilities which have been digitized.",Wait-and-See
"this variant is called ""general purpose cbdc.""",Wait-and-See
"a general purpose cbdc is a substitute for cash (banknotes and coins), and two issuing forms are possible (figure 5).",Wait-and-See
"one is an ""account-based"" cbdc, in which individuals and firms open an account at a central bank and use it to make transfers between accounts.",Wait-and-See
"for instance, in terms of monetary policy, academia, in principle, argues that cbdcs should bear interest -- even negative interest rates in some cases -- as that could increase the effectiveness of monetary policy.",Pro-CBDC
this argument is based on the premise that the level of interest rates applied to cbdc could work as the effective lower bound of interest rates for wide-ranging financial assets.,Pro-CBDC
"this is because even if a central bank applies negative interest rates to cbdc, as long as cash which yields zero interest remains, there will be a shift of funds toward cash.",Wait-and-See
"however, my take is that issuing cbdc is not the best option to promote competition in the retail payments market.",Anti-CBDC
"therefore, i believe it is not really appropriate to issue cbdc for the purpose of promoting competition in the retail payments market.",Anti-CBDC
the rationale for issuing cbdc may basically rest on this.,Wait-and-See
cbdc functions not only as a means of payment but also as a store of value.,Pro-CBDC
"nevertheless, issuing cbdc in normal times with the purpose of preparing for crisis could pose a new challenge.",Anti-CBDC
"for example, if cbdc starts to substitute for bank deposits, it could squeeze banks' credit intermediation and affect the real economy.",Anti-CBDC
"there is also the view that cbdc, which functions as a safe haven in times of stress, would rather amplify the stress.",Anti-CBDC
"no matter how safe and reliable cbdc is as a payment instrument, the benefits derived system from the two-tiered would be lost if private money were to be replaced by cbdc on a considerable scale.",Anti-CBDC
"3. improving the functions of private digital currency creditworthiness of private digital currency as i have mentioned earlier, in the digital age, it is important to prepare ourselves for crises with safe assets, and cbdc is an important possibility.",Pro-CBDC
"however, it is also important to design a framework that improves the creditworthiness of private money, regardless of the issuance of cbdc.",Wait-and-See
"with regard to interoperability among private digital currencies, whether a central bank should allow new nonbank payment service providers, such as fintech firms, to open current accounts at the central bank may be an issue for discussion.",Wait-and-See
"to and settlement address this concern, one option is to reduce dependence on settlement via deposit accounts at financial institutions by issuing a cbdc which provides immediate settlement finality.",Pro-CBDC
"in these platforms, settlement finality is ensured, as with cbdc.",Pro-CBDC
"source: christian barontini and henry holden, ""proceeding with caution -- a survey on central bank digital currency,"" bis papers, no.101, january 2019.",Wait-and-See
"further to the above, a number of other possible advantages of cbdcs have been identified.",Pro-CBDC
"adding to the contraction in the supply of loanable funds derived from retail depositors opting to hold cbdcs instead of bank accounts, loan demand could be affected too as a result of banks' attempts to preserve margins by increasing their lending rates.",Anti-CBDC
"furthermore, in extreme cases, system-wide bank runs triggered by episodes of stress could be facilitated by the swift and frictionless convertibility of bank deposits into risk-free and liquid assets such as cbdcs.",Anti-CBDC
ï‚· striking a right balance between the anonymity and traceability of transactions using cbdcs may prove elusive.,Wait-and-See
ï‚· the issuance of cbdcs is not free of legal uncertainties either.,Wait-and-See
"in addition, given cbdcs legal tender status, difficulties may arise regarding its enforcement, as not necessarily every agent in the economy will have available the means to accept it at all times.",Wait-and-See
"second, thinking of a cbdc as a ""back-up"" does not make much sense either, as the main pieces of the payment systems are handled by the central bank.",Anti-CBDC
"the reputational risks embedded in an entirely anonymous cbdc, especially if it involves unidentified individuals setting up accounts at the central bank, make this a questionable option.",Anti-CBDC
but a cbdc design with anything less than full anonymity is likely to dent interest among the general public.,Anti-CBDC
"this is not to say, however, that the subject of cbdcs and all the issues surrounding it should be disregarded.",Wait-and-See
"â€¢ project inthanon, our central bank digital currency, has completed its second phase, and is recognized as a leading central bank digital currency initiative.",Pro-CBDC
"we are excited to welcome mr. kiff, of the imf and one of the co-authors of the discussion note of the imf on the development and implementation of cbdc.",Pro-CBDC
"afterwards, mrs. luis of ibis management will share the results of a whitepaper issued on the potential implementation of a cbdc in curacÌ§ao and sint maarten.",Pro-CBDC
some also suggest that the right answer to libra is accelerating the creation of a central bank digital currency (cdbc).,Pro-CBDC
"yet, whatever faith awaits private digital money, they will likely change the international monetary and financial system in one way or another, either directly or by driving global central banks to innovate.",Pro-CBDC
[39] the next natural step would be for global central banks to join forces and jointly investigate the feasibility of cbdcs based on common technical standards.,Pro-CBDC
"[36] see barontini, c. and holden, h. (2019), ""proceeding with caution - a survey on central bank digital currency"", bis papers, no 101, bank for international settlements, january.",Wait-and-See
"continuing with the benefits: c. in a world with a widely used cbdc, commercial banks could be smaller/less systemic.",Pro-CBDC
"cbdcs can give central banks more intervention tools and reduce the risk of runs (kumhof and noone, 2018).",Pro-CBDC
"lastly, use of cbdcs could be explored as a more efficient alternative for remittances.",Pro-CBDC
"the cross-border use of cbdc would reap the benefits of crypto-based methods, without their risks.",Pro-CBDC
â€¢ cross-border use of a cbdc may be explored as a more efficient alternative for remittances a wholesale cbdc may have â€¢ remittances using a structure of correspondent institutions are expensive and usually take time several benefits to settle.,Pro-CBDC
"â€¢ the cross-border use of cbdc would reap the benefits of crypto-based methods, without their risks.",Pro-CBDC
b. the level of anonymity that the cbdc should have is still a matter of discussion.,Wait-and-See
also is far from obvious that all market participants should have access to sensitive information such as all transactions in which the cbdc was used.,Wait-and-See
"libra) or a non-euro area cbdc, which may achieve significant market power, thus posing risks to security and financial stability.",Anti-CBDC
"i don't believe anyhow that such an initiative should be conceived as a mean to counterbalance private initiatives such as libra, keeping also in mind that the weaknesses the latter intends to address in cross-border payments may not be more easily handled by such cbdc.",Anti-CBDC
"moreover, central bank digital currency for general purpose use-that is, for individual consumer use-would raise profound legal, policy, and operational questions.19 let's consider the balance between privacy and illicit activity.",Wait-and-See
"finally, there could be operational risks to introducing a central bank digital currency.",Anti-CBDC
"supporting payments innovation while prudence cautions against rushing into untested approaches to central bank digital currencies, we are actively investing in our payments infrastructure, so that everyone has access to real-time payments.",Wait-and-See
central bank digital currencies (cbdcs) raise a number of serious questions to which we don't yet have answers.,Wait-and-See
"as long as cbdcs are using new technologies to do what we already do - issuing money - in a more cost-effective way, i'm all for it.",Pro-CBDC
"all those arguments taken into account, are cbdcs part of our financial future?",Wait-and-See
"furthermore, they should continue to assess the pros and cons of issuing central bank digital currencies.",Wait-and-See
calls for central bank digital currency have been increasing of late.,Pro-CBDC
various central banks are analysing the opportunities and risks of central bank digital currency for the general public.,Wait-and-See
should central bank digital currency only be issued to current monetary policy counterparties or to the general public as well?,Wait-and-See
"currently, we simply know far too little to be able to single out central bank digital currency as an appropriate answer to the challenges that lie ahead in the payments space.",Anti-CBDC
"or the concern that the introduction of central bank digital currency for the general public would create a safe store of value, making it easier for people to ""flee to safety"".",Anti-CBDC
"the sand dollar infrastructure is being designed to connect with bank accounts, so that remote access to these facilities is also quickly re-enabled for deposits and withdrawals.",Pro-CBDC
"the case is for me more compelling for a central bank digital currency at the wholesale level, for use between financial intermediaries, given the potential for a quick and widespread tokenization of financial assets.",Pro-CBDC
"we, at the banque de france, are therefore quite open for experimenting, together with the ecb and other central banks of the eurosystem, in particular with regard to a wholesale central bank digital currency.",Pro-CBDC
falling cash usage and the possibility of more profound structural changes in the monetary and payment system mean that we need to consider whether it would be wise also to issue a central bank digital currency.,Wait-and-See
the group finds that a central bank digital currency could function as a back-up solution in the event of a disruption in banks' payment systems.,Pro-CBDC
ï„… 4 cbdc as a cash substitute?,Wait-and-See
there are currently many operational issues relating to cbdc that remain unresolved.,Wait-and-See
"also, the exact set-up of a cbdc needs to be thought through as the specifications may determine the potential effects.",Wait-and-See
the wholesale type restricts access to cbdc to selected financial market participants for â€¢ a specific purpose.,Wait-and-See
there is also the question of how strong households' appetite for such a form of cbdc â€¢ would actually be.,Wait-and-See
"for example, a central bank digital currency could ensure that citizens remain able to use central bank money even if cash is eventually no longer used.",Pro-CBDC
"a digital currency of this sort could take a variety of forms, the benefits and costs of which the ecb and other central banks are currently investigating, being mindful of their broader consequences on financial intermediation.",Wait-and-See
these changes have led to increased calls for a central bank backed digital currency.,Pro-CBDC
"to keep pace with international developments in the digital currency space, i have engaged discussions with some international institutions for the introduction of a central bank digital currency for retail and wholesale payments in mauritius.",Pro-CBDC
"we are determined to make our country a leader in the region, where a well-regulated central bank-issued digital currency becomes a reality.",Pro-CBDC
"however, depending on its design, a central bank digital currency could pose risks.",Wait-and-See
the question of central bank digital currencies and their optimal design therefore warrants further analysis.,Wait-and-See
"should central banks issue digital money, central bank digital currencies (cbdcs)?",Wait-and-See
"to date, many central banks around the world have already been engaged in research activities for cbdcs.",Wait-and-See
"in some european countries, central banks have been encouraged to accelerate work on issues surrounding possible public digital currency solutions in order to counter private sector initiatives in stablecoins.",Pro-CBDC
it is improving its functions to bring very important to promote the use of such private money by it closer to the expected functions of cbdc.,Pro-CBDC
"and extend it beyond the scope of the acpr and the supervisory authority: i shall also speak as a central banker, and of a central bank digital currency (cbdc).",Wait-and-See
"on a substantive level, i would like to share with you some first thoughts - which are still open to discussion, of course - on three aspects: the objectives, externalities and possible modalities of a central bank digital currency.",Wait-and-See
a cbdc would help to preserve the trust in the financial system that stems in part from being able to exchange assets for legal tender.,Pro-CBDC
"2/ the issuance of a cbdc can generate significant by increasing the positive externalities productivity of the financial sector and by extension the economy, and by shoring up confidence in the currency and in the financial system.",Pro-CBDC
we are also assessing the value of central bank digital currencies (cbdc) for european citizens and the economy.,Wait-and-See
"digital currencies, money, and payments i was asked to provide some brief thoughts about digital developments in the world of monetary policy and central banking.",Wait-and-See
